Gross Output by Industry
Gross Output by Industry
"Last Revised on: September 25, 2025"
Line,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,"        All industries",22836.8,23238.0,23742.3,24254.4,24598.5,24833.7,25047.7,25222.3,25632.1,26127.6,26386.8,26854.8,27030.5,27583.5,27489.2,25996.5,24860.8,24692.3,24940.9,25343.2,25840.2,26303.1,26667.7,27106.9,27575.9,28009.4,28227.6,28388.1,28972.1,29018.9,29222.1,29715.5,29932.5,30234.0,30502.6,30886.0,31247.0,31724.1,32045.3,32166.5,31953.5,32281.0,32409.9,32291.4,32314.4,32716.7,33090.4,33471.0,33957.8,34180.3,34494.8,35239.7,35798.6,36376.7,36799.3,37043.4,37142.2,37578.4,37897.3,38013.9,37576.1,34156.2,36975.1,38151.1,39705.1,41273.8,42457.3,43896.9,45154.7,46654.7,47239.2,47396.4,47933.7,48131.2,48851.4,49244.8,49819.4,50436.2,51073.3,51617.4,52155.4,52563.4
2,Private industries,20265.3,20640.9,21098.3,21571.2,21861.3,22072.4,22258.3,22397.9,22766.9,23215.5,23434.7,23847.8,23975.5,24474.5,24320.9,22837.5,21693.1,21477.5,21697.4,22055.4,22525.7,22960.4,23326.0,23754.1,24218.7,24627.6,24857.1,25034.4,25596.3,25644.8,25821.2,26301.4,26516.4,26806.0,27069.1,27437.5,27774.1,28246.5,28528.8,28645.2,28419.1,28715.6,28824.0,28692.0,28709.1,29074.9,29415.4,29785.4,30248.8,30455.0,30746.1,31432.2,31932.8,32460.6,32828.6,33028.3,33099.8,33472.7,33742.9,33802.6,33333.3,29934.2,32692.6,33828.0,35215.1,36727.6,37849.1,39204.4,40390.3,41748.0,42273.5,42381.6,42880.8,43063.0,43666.0,44012.5,44495.6,45046.4,45611.0,46083.2,46569.4,46939.5
3,"    Agriculture, forestry, fishing, and hunting",299.0,299.6,300.7,301.4,298.0,299.4,304.3,314.5,339.6,343.7,348.9,365.2,374.0,380.0,377.5,359.0,337.4,333.6,335.1,349.9,352.1,358.8,368.6,386.8,424.7,421.9,434.2,437.2,445.8,449.9,449.7,458.9,489.0,492.4,493.7,474.4,489.3,513.6,496.0,495.4,462.9,455.8,461.0,451.9,439.4,435.1,425.7,423.4,449.3,450.0,446.4,450.0,451.7,455.3,440.7,444.8,431.8,434.6,440.5,449.2,456.0,408.1,441.9,473.0,489.8,542.2,558.9,557.2,601.5,645.8,658.6,663.1,662.4,639.5,632.3,617.8,629.2,626.3,630.1,649.8,652.1,632.4
4,"        Farms",252.4,253.9,254.2,253.7,249.1,251.0,256.9,267.9,293.5,299.0,305.5,321.1,329.7,334.8,331.8,315.0,294.5,292.3,294.2,309.7,307.9,312.9,322.7,340.2,375.8,372.5,384.2,388.8,398.4,402.3,403.5,412.4,442.1,443.8,442.4,421.9,432.8,457.7,439.9,438.5,406.5,401.4,405.8,399.0,387.0,384.2,376.1,371.9,396.8,396.5,393.1,395.7,396.4,399.3,390.1,394.6,381.4,384.1,389.8,396.9,402.5,357.9,388.1,415.2,430.1,481.2,495.9,494.4,536.4,581.7,591.8,596.8,595.2,572.4,563.6,548.7,560.0,557.7,563.4,581.7,584.2,563.7
5,"        Forestry, fishing, and related activities",46.6,45.7,46.5,47.7,48.9,48.4,47.4,46.6,46.1,44.7,43.3,44.1,44.3,45.2,45.7,44.0,42.9,41.2,40.9,40.2,44.2,45.9,45.9,46.6,48.9,49.4,50.0,48.4,47.4,47.5,46.2,46.4,46.9,48.6,51.3,52.5,56.5,56.0,56.1,56.9,56.3,54.5,55.3,52.9,52.4,51.0,49.6,51.4,52.5,53.5,53.4,54.2,55.4,56.0,50.6,50.2,50.4,50.5,50.7,52.3,53.5,50.2,53.8,57.9,59.7,61.0,63.1,62.9,65.0,64.1,66.8,66.2,67.3,67.1,68.7,69.1,69.1,68.6,66.7,68.1,67.9,68.7
6,"    Mining",342.7,369.2,404.7,461.2,445.3,447.3,454.0,434.1,436.3,473.9,473.4,521.6,577.3,703.4,682.5,495.1,412.7,381.6,392.9,432.5,494.1,483.3,501.2,521.7,555.8,611.3,610.5,629.6,637.6,600.9,600.0,615.2,628.2,658.2,685.6,649.2,721.5,767.7,747.3,674.2,536.9,515.7,464.6,408.6,332.2,356.6,379.3,402.7,453.7,447.0,449.7,500.8,545.6,573.0,613.5,610.1,563.5,568.4,554.9,544.1,485.4,292.9,353.2,404.9,491.8,583.6,633.2,745.3,797.1,967.3,969.6,828.3,760.6,684.7,720.5,732.4,707.5,716.9,706.6,694.6,756.0,686.5
7,"        Oil and gas extraction",211.7,227.7,255.5,302.0,267.8,257.7,263.2,241.0,244.5,273.0,271.3,318.8,366.7,476.0,444.8,265.9,205.1,208.1,228.9,268.2,316.3,289.1,299.5,313.9,343.4,387.9,375.8,384.7,380.6,342.7,353.2,374.0,389.9,414.4,438.0,408.7,462.8,485.2,456.6,378.4,257.4,270.4,236.1,202.3,159.7,195.5,212.6,231.4,255.0,238.9,240.0,282.0,315.4,335.0,368.1,368.0,324.0,321.6,304.6,313.9,259.9,144.0,199.8,240.6,310.7,389.7,436.8,542.7,577.9,733.2,721.9,582.2,496.5,427.3,473.2,473.7,454.4,466.4,454.3,448.9,502.4,443.0
8,"        Mining, except oil and gas",79.0,83.8,85.7,88.7,96.4,102.9,102.4,101.6,98.4,105.7,106.3,107.6,112.1,119.8,122.3,110.4,108.9,103.5,104.1,103.3,106.1,111.7,113.8,119.1,125.1,131.4,134.4,132.6,133.6,126.8,119.0,119.1,114.4,114.2,116.0,113.0,116.6,119.4,118.5,110.0,110.2,106.0,104.2,97.4,92.1,93.2,96.4,97.8,102.7,100.4,100.6,103.8,106.8,107.6,106.2,107.0,105.4,109.2,106.6,103.2,100.0,87.9,97.7,101.3,112.3,116.4,118.6,121.2,130.6,139.4,142.8,139.6,146.3,139.5,138.3,140.9,141.0,137.7,141.2,139.5,146.5,149.2
